school_code,school_name,category,management,edu_district,sub_district,local_body,classes_approved,students_total,students_lp,students_up,teaching_staff_total,teaching_staff_lp,teaching_staff_up,teaching_staff_lp_up_shared,teaching_staff_hs,teaching_staff_unclassified,non_teaching_total,reported_total_employees,staff_data_status,total_reconciles,has_hss,has_vhse,source_url,fetched_at
18475,G.U.P.S. Kottakkal,UPS,Government,Malappuram,Malappuram,Kottakkal (M),1 - 7,600,285,315,23,11,6,3,3,0,2,25,ok,true,false,false,https://sametham.kite.kerala.gov.in/18475,2026-08-14T10:07:00.393474+00:00
18476,G.U.P.S. Muthiriparamba,UPS,Government,Malappuram,Malappuram,Malappuram (P),1 - 7,485,262,223,21,9,2,4,6,0,0,21,ok,true,false,false,https://sametham.kite.kerala.gov.in/18476,2026-08-14T10:07:02.390700+00:00
18477,G.U.P.S. Ponmala,UPS,Government,Malappuram,Malappuram,Malappuram (P),1 - 7,590,242,348,22,9,8,3,2,0,1,23,ok,true,false,false,https://sametham.kite.kerala.gov.in/18477,2026-08-14T10:07:04.399088+00:00
18505,G.L.P.S. Arukizhaya,LPS,Government,Malappuram,Manjeri,Manjeri (M),1 - 4,60,60,0,2,1,0,0,1,0,1,3,ok,true,false,false,https://sametham.kite.kerala.gov.in/18505,2026-08-14T10:07:06.367296+00:00
18506,G.L.P.S. Chalippadam,LPS,Government,Malappuram,Manjeri,Malappuram (P),1 - 4,99,99,0,6,5,0,1,0,0,0,6,ok,true,false,false,https://sametham.kite.kerala.gov.in/18506,2026-08-14T10:07:08.395947+00:00
18507,G.L.P.S. Chembakuth,LPS,Government,Malappuram,Manjeri,Malappuram (P),1 - 4,53,53,0,5,2,0,1,2,0,0,5,ok,true,false,false,https://sametham.kite.kerala.gov.in/18507,2026-08-14T10:07:10.377625+00:00
18508,G.L.P.S. Cherukulam,LPS,Government,Malappuram,Manjeri,Malappuram (P),1 - 4,185,185,0,11,8,0,3,0,0,1,12,ok,true,false,false,https://sametham.kite.kerala.gov.in/18508,2026-08-14T10:07:12.374204+00:00
18510,G.L.P.S. Cheruvannur,LPS,Government,Malappuram,Manjeri,Malappuram (P),1 - 4,230,230,0,10,9,0,1,0,0,1,11,ok,true,false,false,https://sametham.kite.kerala.gov.in/18510,2026-08-14T10:07:14.369284+00:00
18514,G.M.L.P.S. Edavanna,LPS,Government,Malappuram,Manjeri,Malappuram (P),1 - 4,160,160,0,8,7,0,1,0,0,1,9,ok,true,false,false,https://sametham.kite.kerala.gov.in/18514,2026-08-14T10:07:16.375880+00:00
18515,G.M.L.P.S. Eranhikode,LPS,Government,Malappuram,Manjeri,Malappuram (P),1 - 4,162,162,0,10,8,0,2,0,0,1,11,ok,true,false,false,https://sametham.kite.kerala.gov.in/18515,2026-08-14T10:07:18.372480+00:00
18517,G.M.L.P.S. Karakunnu,LPS,Government,Malappuram,Manjeri,Malappuram (P),1 - 4,179,179,0,10,8,0,2,0,0,0,10,ok,true,false,false,https://sametham.kite.kerala.gov.in/18517,2026-08-14T10:07:20.370482+00:00
